               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11395,            0.072887,             0.10606,                   0,                   0,                   0,                   0,             0.11217,            0.050565,             0.10284,              0.0007,              0.0007,              0.0937
                   1,              0.1143,            0.064258,             0.10718,                   0,                   0,                   0,                   0,             0.11221,            0.050536,             0.10284,            0.001495,            0.001495,            0.086495
                   2,             0.11334,            0.067879,             0.10513,                   0,                   0,                   0,                   0,             0.11223,            0.050506,             0.10283,           0.0022848,           0.0022848,            0.079285
